busco_id	helixer_seq	helixer_chrom_cm	helixer_chrom_int	helixer_start	helixer_end	helixer_busco_score	helixer_busco_length	gmb_overlapping	gmb_evidence	classification	refined_classification	note
10387at93133	_CM001198.1_001292.1	CM001198.1	3	226661	228326	745.8	429	ZTRITICI_03492.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_truncated	best_prot=194aa expected=429aa ratio=0.45
10454at93133	_CM001204.1_000716.1	CM001204.1	9	170541	172546	1003.5	468	ZTRITICI_09413.t2,ZTRITICI_09416.t2,ZTRITICI_09421.t1	Scallop,Scallop,Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=474aa expected=468aa ratio=1.01
1046at93133	_CM001205.1_000475.1	CM001205.1	10	937574	938693	356.2	162	ZTRITICI_10373.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=167aa expected=162aa ratio=1.03
10472at93133	_CM001196.1_001066.1	CM001196.1	1	5269024	5270230	422.6	216	ZTRITICI_01841.t2,ZTRITICI_01845.t2,ZTRITICI_01847.t1,ZTRITICI_01841.t2,ZTRITICI_01845.t2,ZTRITICI_01847.t1	Scallop,StringTie,Scallop,StringTie,Scallop,StringTie,Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_01845.t2:5p_dropped,ZTRITICI_01845.t2:5p_dropped
10509at93133	_CM001197.1_000876.1	CM001197.1	2	2913452	2914756	438.1	223	ZTRITICI_03127.t1	Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:12039at93133
10522at93133	_CM001196.1_000796.1	CM001196.1	1	4028703	4029624	361.0	183	ZTRITICI_01414.t2,ZTRITICI_01418.t1	Scallop,Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_supported
10533at93133	_CM001200.1_000889.1	CM001200.1	5	776697	778565	595.7	305	ZTRITICI_05810.t1,ZTRITICI_05811.t2	Scallop,StringTie,Scallop	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_05810.t1:5p_dropped,ZTRITICI_05811.t2:5p_dropped,ZTRITICI_05811.t2:3p_dropped
10535at93133	_CM001197.1_001160.1	CM001197.1	2	1532226	1535193	1453.4	709	ZTRITICI_02638.t2,ZTRITICI_02638.t1	Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:14983at93133
10576at93133	_CM001198.1_000597.1	CM001198.1	3	3204666	3206509	973.2	501	ZTRITICI_04521.t2,ZTRITICI_04521.t1,ZTRITICI_04527.t2	StringTie,Scallop,Scallop	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_04521.t2:5p_dropped,ZTRITICI_04521.t2:3p_dropped,ZTRITICI_04521.t1:5p_dropped,ZTRITICI_04521.t1:3p_dropped,ZTRITICI_04527.t2:5p_dropped,ZTRITICI_04527.t2:3p_dropped
10604at93133	_CM001204.1_000556.1	CM001204.1	9	1041329	1043248	890.4	442	ZTRITICI_09704.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=451aa expected=442aa ratio=1.02
10664at93133	_CM001196.1_001703.1	CM001196.1	1	3566050	3567449	655.3	292	ZTRITICI_01263.t2,ZTRITICI_01270.t1,ZTRITICI_01271.t1	Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:9054at93133,15683at93133
10699at93133	_CM001200.1_000762.1	CM001200.1	5	1385516	1388405	1221.6	661	ZTRITICI_06018.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=705aa expected=661aa ratio=1.07
1071at93133	_CM001200.1_000237.1	CM001200.1	5	1330378	1331257	193.1	90	ZTRITICI_05984.t2,ZTRITICI_05990.t2,ZTRITICI_05994.t1	Scallop,StringTie,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:3252at93133
1074at93133	_CM001206.1_000500.1	CM001206.1	11	717976	719542	691.3	334	ZTRITICI_10875.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=337aa expected=334aa ratio=1.01
10780at93133	_CM001201.1_000472.1	CM001201.1	6	2626922	2629516	1494.9	768	.	.	Dropped_locus	Dropped_locus_no_model	No GMB mRNA at Helixer locus
10792at93133	_CM001208.1_000402.1	CM001208.1	13	240550	242512	732.0	397	ZTRITICI_11816.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=395aa expected=397aa ratio=0.99
107at93133	_CM001201.1_000495.1	CM001201.1	6	2468531	2470404	720.5	315	ZTRITICI_07247.t1,ZTRITICI_07247.t1	Helixer,StringTie,Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=319aa expected=315aa ratio=1.01
10815at93133	_CM001207.1_000423.1	CM001207.1	12	734476	736048	711.2	325	ZTRITICI_11442.t2,ZTRITICI_11446.t2,ZTRITICI_11450.t1	Scallop,Scallop,Helixer,Scallop	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:16854at93133
10819at93133	_CM001197.1_001022.1	CM001197.1	2	2273846	2274682	263.9	127	ZTRITICI_02886.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=128aa expected=127aa ratio=1.01
1081at93133	_CM001196.1_000325.1	CM001196.1	1	1782404	1783848	715.5	336	ZTRITICI_00607.t1	Scallop	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_00607.t1:3p_dropped
10839at93133	_CM001205.1_000460.1	CM001205.1	10	999932	1001111	528.6	287	ZTRITICI_10386.t1,ZTRITICI_10386.t1,ZTRITICI_10396.t1	Helixer,StringTie,Helixer,StringTie,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:14202at93133
10848at93133	_CM001197.1_001067.1	CM001197.1	2	2074761	2076278	552.3	319	ZTRITICI_02800.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_supported
10855at93133	_CM001196.1_001845.1	CM001196.1	1	2920508	2921901	614.1	298	ZTRITICI_01021.t2,ZTRITICI_01026.t1	Scallop,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:6973at93133
10879at93133	_CM001202.1_000783.1	CM001202.1	7	1557408	1560524	1532.7	704	ZTRITICI_07875.t1,ZTRITICI_07875.t1	Helixer,Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=707aa expected=704aa ratio=1.00
1089at93133	_CM001198.1_001030.1	CM001198.1	3	1640888	1642260	456.9	247	ZTRITICI_03941.t1,ZTRITICI_03941.t2	StringTie,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_03941.t1:5p_dropped
10902at93133	_CM001204.1_000285.1	CM001204.1	9	1510208	1512104	374.5	288	ZTRITICI_09849.t2,ZTRITICI_09851.t1	Scallop,Scallop	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_09851.t1:3p_dropped
10906at93133	_CM001197.1_000749.1	CM001197.1	2	3509725	3511400	706.8	324	ZTRITICI_03332.t2,ZTRITICI_03332.t1,ZTRITICI_03332.t2,ZTRITICI_03332.t1	Scallop,Helixer,StringTie,Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:649at93133
10917at93133	_CM001197.1_000544.1	CM001197.1	2	2902358	2903980	385.3	185	ZTRITICI_03111.t2,ZTRITICI_03122.t1	Scallop,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:5038at93133,14913at93133
10929at93133	_CM001198.1_001126.1	CM001198.1	3	1188462	1190226	961.5	467	ZTRITICI_03766.t1,ZTRITICI_03767.t1,ZTRITICI_03767.t1	Helixer,Helixer,StringTie,Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=469aa expected=467aa ratio=1.00
10931at93133	_CM001196.1_001091.1	CM001196.1	1	5387712	5389327	578.9	362	ZTRITICI_01884.t2,ZTRITICI_01895.t2,ZTRITICI_01897.t1,ZTRITICI_01897.t2	Scallop,Scallop,Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_01884.t2:3p_dropped,ZTRITICI_01895.t2:5p_dropped,ZTRITICI_01897.t2:5p_dropped
10957at93133	_CM001204.1_000706.1	CM001204.1	9	265358	267123	456.3	210	ZTRITICI_09447.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=216aa expected=210aa ratio=1.03
10959at93133	_CM001203.1_000843.1	CM001203.1	8	201055	202745	792.0	447	ZTRITICI_08651.t2,ZTRITICI_08657.t1,ZTRITICI_08651.t1	Scallop,Helixer,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:20257at93133
11006at93133	_CM001199.1_000799.1	CM001199.1	4	1668162	1669845	905.7	404	ZTRITICI_05130.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=445aa expected=404aa ratio=1.10
11007at93133	_CM001196.1_001608.1	CM001196.1	1	4096105	4098124	1079.3	518	ZTRITICI_01432.t2,ZTRITICI_01443.t1,ZTRITICI_01444.t1	Scallop,Helixer,Scallop,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:3860at93133
11033at93133	_CM001200.1_000549.1	CM001200.1	5	2565935	2567803	930.6	455	ZTRITICI_06410.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=457aa expected=455aa ratio=1.00
1103at93133	_CM001197.1_001151.1	CM001197.1	2	1570639	1571779	405.5	181	ZTRITICI_02654.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_supported
11061at93133	_CM001197.1_000081.1	CM001197.1	2	455774	456750	320.6	185	.	.	Dropped_locus	Dropped_locus_no_model	No GMB mRNA at Helixer locus
11124at93133	_CM001204.1_000703.1	CM001204.1	9	304770	306755	920.0	422	ZTRITICI_09462.t2,ZTRITICI_09468.t1	Scallop,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:14004at93133
11163at93133	_CM001203.1_000654.1	CM001203.1	8	1208350	1211109	1401.5	698	ZTRITICI_09015.t1,ZTRITICI_09016.t1,ZTRITICI_09016.t1	Helixer,Helixer,StringTie,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:1415at93133
11167at93133	_CM001196.1_000045.1	CM001196.1	1	292810	294403	589.8	334	.	.	Dropped_locus	Dropped_locus_no_model	No GMB mRNA at Helixer locus
11173at93133	_CM001202.1_000996.1	CM001202.1	7	561460	563958	1110.2	560	ZTRITICI_07499.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=569aa expected=560aa ratio=1.02
11235at93133	_CM001197.1_000996.1	CM001197.1	2	2372100	2372963	303.0	152	ZTRITICI_02925.t1	Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:18561at93133
11259at93133	_CM001205.1_000454.1	CM001205.1	10	1020669	1022821	999.3	489	ZTRITICI_10402.t1,ZTRITICI_10403.t1,ZTRITICI_10404.t1	Helixer,StringTie,Helixer,StringTie,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:16572at93133,9357at93133
11321at93133	_CM001208.1_000417.1	CM001208.1	13	163380	164838	552.8	350	ZTRITICI_11793.t1,ZTRITICI_11793.t2	Scallop,Scallop	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_supported
11322at93133	_CM001199.1_000829.1	CM001199.1	4	1441184	1443350	879.6	510	ZTRITICI_05068.t2,ZTRITICI_05071.t1,ZTRITICI_05072.t2	Scallop,Helixer,Scallop	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:14348at93133,20911at93133
11425at93133	_CM001204.1_000712.1	CM001204.1	9	215426	217265	848.9	458	ZTRITICI_09429.t1,ZTRITICI_09429.t2	Scallop,Scallop	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_supported
11428at93133	_CM001203.1_000720.1	CM001203.1	8	953422	955740	547.6	260	ZTRITICI_08908.t2,ZTRITICI_08910.t1	Scallop,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:5946at93133
11459at93133	_CM001202.1_000869.1	CM001202.1	7	1171146	1172349	517.5	269	ZTRITICI_07733.t1,ZTRITICI_07734.t2,ZTRITICI_07733.t2	StringTie,Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_07734.t2:5p_dropped,ZTRITICI_07734.t2:3p_dropped,ZTRITICI_07733.t2:3p_dropped
1145at93133	_CM001198.1_000802.1	CM001198.1	3	2805792	2807887	1234.5	558	ZTRITICI_04370.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=565aa expected=558aa ratio=1.01
11479at93133	_CM001197.1_000741.1	CM001197.1	2	3545095	3546749	601.4	332	ZTRITICI_03348.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=346aa expected=332aa ratio=1.04
11485at93133	_CM001204.1_000463.1	CM001204.1	9	1655635	1659368	1574.9	960	ZTRITICI_09900.t2,ZTRITICI_09903.t1,ZTRITICI_09904.t2	Scallop,StringTie,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_09903.t1:5p_dropped,ZTRITICI_09904.t2:5p_dropped,ZTRITICI_09904.t2:3p_dropped
11518at93133	_CM001204.1_000487.1	CM001204.1	9	1527227	1529725	1340.1	695	ZTRITICI_09852.t2,ZTRITICI_09855.t1,ZTRITICI_09856.t2	Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:20241at93133
11522at93133	_CM001199.1_000813.1	CM001199.1	4	1510175	1512428	636.4	367	ZTRITICI_05098.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=434aa expected=367aa ratio=1.18
11541at93133	_CM001196.1_001765.1	CM001196.1	1	3308559	3310062	560.6	294	ZTRITICI_01168.t2,ZTRITICI_01170.t1,ZTRITICI_01168.t2	StringTie,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:7015at93133,24627at93133
11546at93133	_CM001201.1_000757.1	CM001201.1	6	903596	905007	504.4	311	ZTRITICI_06722.t2,ZTRITICI_06725.t2,ZTRITICI_06725.t1	Scallop,StringTie,Scallop	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_06722.t2:3p_dropped,ZTRITICI_06725.t2:3p_dropped
11584at93133	_CM001199.1_000855.1	CM001199.1	4	1275659	1278020	1367.6	630	ZTRITICI_05015.t2,ZTRITICI_05019.t2,ZTRITICI_05019.t1	Scallop,Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:22714at93133
11586at93133	_CM001197.1_001372.1	CM001197.1	2	542325	544834	739.4	577	ZTRITICI_02269.t2,ZTRITICI_02275.t1,ZTRITICI_02276.t2	StringTie,StringTie,Scallop	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_02269.t2:5p_dropped,ZTRITICI_02275.t1:3p_dropped
11632at93133	_CM001196.1_000827.1	CM001196.1	1	4136627	4139786	1365.5	749	ZTRITICI_01455.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_01455.t1:5p_dropped
11660at93133	_CM001196.1_001265.1	CM001196.1	1	5756534	5758277	681.1	305	ZTRITICI_02015.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=306aa expected=305aa ratio=1.00
11663at93133	_CM001196.1_000939.1	CM001196.1	1	4680286	4681635	592.6	336	ZTRITICI_01640.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_01640.t1:5p_dropped,ZTRITICI_01640.t1:3p_dropped
11678at93133	_CM001196.1_002060.1	CM001196.1	1	1860218	1862283	1030.9	493	ZTRITICI_00625.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_00625.t1:5p_dropped
11715at93133	_CM001196.1_001910.1	CM001196.1	1	2559203	2560384	483.2	253	ZTRITICI_00895.t2,ZTRITICI_00896.t2,ZTRITICI_00897.t1,ZTRITICI_00895.t2,ZTRITICI_00896.t2	StringTie,Scallop,Helixer,StringTie,Scallop	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:23063at93133,12888at93133,19244at93133
11728at93133	_CM001196.1_001369.1	CM001196.1	1	5277738	5280013	931.1	551	ZTRITICI_01852.t1,ZTRITICI_01852.t1	Helixer,Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=554aa expected=551aa ratio=1.01
11735at93133	_CM001199.1_000684.1	CM001199.1	4	2196053	2197274	477.1	234	ZTRITICI_05304.t2,ZTRITICI_05306.t1	Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:7059at93133
11743at93133	_CM001199.1_000888.1	CM001199.1	4	1130543	1131727	410.3	273	ZTRITICI_04967.t2,ZTRITICI_04974.t1,ZTRITICI_04975.t2	Scallop,Helixer,StringTie,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:289at93133,23440at93133
11752at93133	_CM001199.1_000737.1	CM001199.1	4	1988162	1989484	625.8	299	ZTRITICI_05232.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=305aa expected=299aa ratio=1.02
11753at93133	_CM001203.1_000446.1	CM001203.1	8	2228348	2230580	1019.3	564	ZTRITICI_09334.t1,ZTRITICI_09334.t1	Helixer,Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=569aa expected=564aa ratio=1.01
11758at93133	_CM001201.1_000498.1	CM001201.1	6	2449621	2451396	452.9	256	.	.	Dropped_locus	Dropped_locus_no_model	No GMB mRNA at Helixer locus
11767at93133	_CM001198.1_001111.1	CM001198.1	3	1253185	1254542	293.1	164	ZTRITICI_03777.t2,ZTRITICI_03783.t2,ZTRITICI_03787.t2,ZTRITICI_03790.t1	Scallop,Scallop,StringTie,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:16607at93133
11773at93133	_CM001205.1_000434.1	CM001205.1	10	1092109	1093889	834.9	439	ZTRITICI_10430.t2,ZTRITICI_10430.t1	StringTie,Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_10430.t1:5p_dropped
117at93133	_CM001197.1_001181.1	CM001197.1	2	1458991	1460043	162.9	74	ZTRITICI_02615.t1,ZTRITICI_02616.t1,ZTRITICI_02616.t1	Helixer,Helixer,StringTie,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:8090at93133
11824at93133	_CM001198.1_000841.1	CM001198.1	3	2608698	2610075	491.0	276	ZTRITICI_04300.t1,ZTRITICI_04300.t1	Scallop,StringTie,Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_supported
11837at93133	_CM001204.1_000394.1	CM001204.1	9	2077445	2079198	724.2	366	ZTRITICI_10013.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_10013.t1:3p_dropped
1184at93133	_CM001197.1_001234.1	CM001197.1	2	1207210	1209135	533.3	298	ZTRITICI_02521.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=327aa expected=298aa ratio=1.10
1185at93133	_CM001202.1_000787.1	CM001202.1	7	1539107	1539833	183.9	87	ZTRITICI_07867.t1	Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:5102at93133
11860at93133	_CM001201.1_000234.1	CM001201.1	6	1374325	1375937	511.5	350	ZTRITICI_06908.t1,ZTRITICI_06909.t1,ZTRITICI_06895.t2,ZTRITICI_06913.t2,ZTRITICI_06895.t1	Scallop,StringTie,Scallop,StringTie,Scallop,Scallop,StringTie,Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_06908.t1:5p_dropped,ZTRITICI_06908.t1:3p_dropped,ZTRITICI_06909.t1:5p_dropped,ZTRITICI_06909.t1:3p_dropped,ZTRITICI_06895.t2:3p_dropped,ZTRITICI_06913.t2:5p_dropped,ZTRITICI_06895.t1:5p_dropped,ZTRITICI_06895.t1:3p_dropped
11888at93133	_CM001196.1_001601.1	CM001196.1	1	4142485	4143987	518.2	312	ZTRITICI_01455.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_01455.t1:5p_dropped
11907at93133	_CM001196.1_002188.1	CM001196.1	1	1296854	1298733	771.8	401	ZTRITICI_00429.t1	Helixer,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=452aa expected=401aa ratio=1.13
1194at93133	_CM001201.1_000686.1	CM001201.1	6	1323255	1327298	2660.0	1201	ZTRITICI_06908.t1,ZTRITICI_06909.t1,ZTRITICI_06880.t2,ZTRITICI_06888.t1	Scallop,StringTie,Scallop,StringTie,Scallop,Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=1214aa expected=1201aa ratio=1.01
12008at93133	_CM001199.1_000802.1	CM001199.1	4	1657517	1658809	308.8	209	ZTRITICI_05122.t2,ZTRITICI_05125.t1	Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:19093at93133
